Cluster,SoNhanVien,SoNghiViec,TuoiTB,KhoangCachTB,SoDuAnTB,GioLamTB,TyLeLamThem,HieuSuatTB,HaiLongCongViecTB,HaiLongMoiTruongTB,ThuNhapTB,ThamNienTB,NamTuThangChucTB,TyLeDuocThangChucNamTruoc,CapBacTB,TyLeNghiViec
0,676,112,44.36,20.12,3.54,196.22,27.22,3.4,2.96,2.74,23196840.24,11.21,9.69,0.44,1.8,16.57
1,1184,290,38.13,20.89,3.61,218.09,98.99,3.39,2.96,2.82,19422263.51,4.36,2.63,9.54,1.95,24.49
2,1813,169,37.85,20.64,3.42,187.56,0.22,3.39,2.83,2.97,18060525.1,3.42,2.36,8.33,1.86,9.32
3,758,93,39.82,20.15,3.54,196.28,28.63,3.4,2.86,2.8,54903778.36,6.94,3.06,15.44,4.08,12.27
