Cluster,Tuoi,KhoangCachTuNha,SoLuongDuAn,SoGioTrungBinhThang,LamThemGio,DiemDanhGiaHieuSuat,DiemHaiLongCongViec,DiemHaiLongMoiTruong,ThuNhapThang,SoNamTaiCongTy,SoNamTuLanThangChucCuoi,CapBacCongViec
0,44.36,20.12,3.54,196.22,0.27,3.4,2.96,2.74,23196840.24,11.21,9.69,1.8
1,38.13,20.89,3.61,218.09,0.99,3.39,2.96,2.82,19422263.51,4.36,2.63,1.95
2,37.85,20.64,3.42,187.56,0.0,3.39,2.83,2.97,18060525.1,3.42,2.36,1.86
3,39.82,20.15,3.54,196.28,0.29,3.4,2.86,2.8,54903778.36,6.94,3.06,4.08
