Threshold,Precision,Recall,F1
0.16908819344089202,0.2794316644113667,0.6324655436447167,0.3876114495984027
0.16906741681556572,0.27924273157538876,0.6324655436447167,0.38742964310225536
0.1690469009776627,0.27905405405405403,0.6324655436447167,0.3872480070763342
0.16895224284340166,0.27886563133018233,0.6324655436447167,0.38706654128099044
0.16921587666856797,0.2791327913279133,0.6309341500765697,0.3870361667893716
0.18275013766993414,0.2918287937743191,0.5742725880551302,0.38699690357794153
0.16992487668052647,0.27967257844474763,0.6278713629402757,0.38697498777558403
0.1687059132948236,0.27841291190316075,0.6339969372128637,0.386915887426408
0.16891482544369896,0.2786774628879892,0.6324655436447167,0.3868852454770241
0.16921554143309275,0.2789438050101557,0.6309341500765697,0.3868544596687249
0.18262066884284692,0.291601866251944,0.5742725880551302,0.3867973177585475
0.1699043109775352,0.2794819359236537,0.6278713629402757,0.3867924524039022
0.1699925852547236,0.27975376196990426,0.6263399693721287,0.38676122888757625
0.16863282921422035,0.2782258064516129,0.6339969372128637,0.38673517005713537
0.16887571671908047,0.2784895482130816,0.6324655436447167,0.3867041194256833
0.16985071998156337,0.279291553133515,0.6278713629402757,0.38661008915421174
0.18240895704356472,0.2913752913752914,0.5742725880551302,0.3865979376977304
0.16998193142801113,0.27956254272043746,0.6263399693721287,0.38657844947874914
0.18312200592939762,0.2917316692667707,0.5727411944869831,0.3865633070463736
0.16861731374039027,0.2780389523169913,0.6339969372128637,0.38655462142490243
0.16885869036568646,0.2783018867924528,0.6324655436447167,0.38652316288866284
0.16980281405193232,0.27910142954390743,0.6278713629402757,0.3864278977831732
0.18239263877568274,0.2911490683229814,0.5742725880551302,0.3863987630774706
0.16997177588998377,0.27937158469945356,0.6263399693721287,0.38639584274768196
0.16860730075411676,0.2778523489932886,0.6339969372128637,0.38637424129349285
0.18303437616768306,0.2915042868277475,0.5727411944869831,0.38636363591658324
0.17292275306924132,0.2815126050420168,0.6156202143950995,0.386352714610193
0.16884363545685963,0.2781144781144781,0.6324655436447167,0.38634237562810375
0.16933326661737141,0.27864406779661016,0.6294027565084227,0.3862781950633272
0.18143875073263227,0.29022324865280985,0.5773353751914242,0.3862704913580402
0.16977647214998443,0.2789115646258503,0.6278713629402757,0.3862458780479059
0.16996178347373397,0.27918088737201363,0.6263399693721287,0.38621340844978874
0.1823690791655222,0.29092319627618307,0.5742725880551302,0.38619979358040385
0.16860046832736067,0.2776659959758551,0.6339969372128637,0.3861940294271314
0.17286150724449126,0.2813156053184045,0.6156202143950995,0.38616714654352297
0.18275532680289214,0.29127725856697817,0.5727411944869831,0.38616417095213096
0.16873764653440432,0.2779273216689098,0.6324655436447167,0.3861617574065916
0.16717695005295213,0.27645502645502645,0.6401225114854517,0.38614318664568653
0.18087417631506206,0.2896551724137931,0.5788667687595712,0.3861082733041653
0.1712762751493632,0.28027681660899656,0.6202143950995406,0.3860819824120548
0.16782446364349568,0.2769640479360852,0.6370597243491577,0.3860788858885101
0.1811472598375876,0.29,0.5773353751914242,0.3860727082082288
0.16970890578524403,0.2787219578518015,0.6278713629402757,0.3860640297059864
0.17262304462025915,0.2808362369337979,0.6171516079632465,0.3860153252406311
0.16851420876493697,0.2774798927613941,0.6339969372128637,0.38601398559048217
0.18233449716437622,0.29069767441860467,0.5742725880551302,0.386001028889819
0.17012498694323425,0.2792607802874743,0.6248085758039816,0.3859981074254562
0.1728534081229279,0.2811188811188811,0.6156202143950995,0.3859817566507048
0.16709128095027734,0.2762723066754792,0.6401225114854517,0.38596491185952425
0.18086615562899847,0.2894333843797856,0.5788667687595712,0.38591117872860303
0.16782028146536535,0.2767797737857618,0.6370597243491577,0.385899814048959
0.17127592604560127,0.2800829875518672,0.6202143950995406,0.3858980462602655
0.16960060634729027,0.27853260869565216,0.6278713629402757,0.3858823525154476
0.1811395565338546,0.2897770945426595,0.5773353751914242,0.38587512749767
0.16840261980097782,0.2772940388479571,0.6339969372128637,0.3858341095486481
0.17238707940260484,0.28064066852367686,0.6171516079632465,0.3858305404989192
0.1822626683993033,0.29047250193648333,0.5742725880551302,0.38580246868965656
0.17282060330108517,0.2809224318658281,0.6156202143950995,0.3857965446752504
0.16696428642559757,0.2760898282694848,0.6401225114854517,0.38578680160938983
0.17060744361132898,0.27934111187371313,0.6232771822358346,0.38578199009392383
0.17303524187549602,0.2812061711079944,0.6140888208269525,0.38576238533150836
0.18324594799599395,0.29117876658860264,0.5712098009188361,0.3857290584979114
0.16778993267527811,0.2765957446808511,0.6370597243491577,0.3857209082472751
0.1709804690296175,0.27988942639944714,0.6202143950995406,0.38571428528576374
0.18083302232217507,0.28921193573068094,0.5788667687595712,0.3857142852699547
0.16958749016117308,0.27834351663272233,0.6278713629402757,0.3857008462347777
0.18109118665869564,0.28955453149001537,0.5773353751914242,0.38567774891571566
0.16835832184804214,0.27710843373493976,0.6339969372128637,0.3856544010671699
0.1723545768748214,0.2804453723034099,0.6171516079632465,0.38564593258471147
0.17827585040745952,0.2861378799110452,0.5911179173047473,0.3856143851748167
0.1727910564292188,0.2807262569832402,0.6156202143950995,0.38561151036116326
0.166913060460569,0.2759075907590759,0.6401225114854517,0.38560885566760433
0.182210650514178,0.29024767801857587,0.5742725880551302,0.38560411266450745
0.17041602954619534,0.27914951989026066,0.6232771822358346,0.38559924163808046
0.17292620541774514,0.28100911002102313,0.6140888208269525,0.385576922646158
0.16720754468165863,0.276158940397351,0.6385911179173047,0.3855755890375754
0.16778614153436947,0.2764119601328904,0.6370597243491577,0.38554216825263626
0.17878399567680933,0.2867811799850635,0.5880551301684533,0.38554216823399673
0.1709653895082632,0.2796961325966851,0.6202143950995406,0.38553069923841526
0.16952370089604543,0.2781546811397558,0.6278713629402757,0.38551951062291906
0.18081221934284736,0.2889908256880734,0.5788667687595712,0.3855175926205453
0.17150106849031907,0.27997227997227997,0.6186830015313936,0.3854961827771368
0.18107884043678615,0.2893323100537222,0.5773353751914242,0.38548057215235226
0.16832121863221627,0.27692307692307694,0.6339969372128637,0.3854748599120247
0.17929295300204823,0.2874341610233258,0.5849923430321593,0.38546922256522786
0.16662578023014749,0.2754766600920447,0.6416539050535988,0.3854645809964492
0.17225879435251026,0.28025034770514606,0.6171516079632465,0.38546150124430983
0.18144119444641527,0.2896764252696456,0.5758039816232772,0.3854433619329156
0.16689009562317322,0.2757255936675462,0.6401225114854517,0.38543107380690866
0.1727059584483395,0.28053035589672015,0.6156202143950995,0.38542665345293836
0.1782091803425251,0.2859259259259259,0.5911179173047473,0.38542186675974555
0.17029441567679562,0.27895819054146676,0.6232771822358346,0.38541666623948695
0.18214239999190482,0.2900232018561485,0.5742725880551302,0.38540596049961023
0.1672011928896652,0.2759761747187293,0.6385911179173047,0.3853974117782317
0.16739610076353154,0.27622841965471445,0.6370597243491577,0.38536359383464847
0.17877249711895957,0.2865671641791045,0.5880551301684533,0.3853487200812377
0.170935494018601,0.2795031055900621,0.6202143950995406,0.38534728786856204
0.16800501778109497,0.27648234510326447,0.6355283307810107,0.38532961889040057
0.18075905543319593,0.2887700534759358,0.5788667687595712,0.385321100473327
0.17147352560911977,0.27977839335180055,0.6186830015313936,0.38531235054872903
0.16824336076293156,0.2767379679144385,0.6339969372128637,0.385295485849625
0.19325264046455717,0.30025662959794697,0.5375191424196019,0.38529088867292366
0.1665578673993872,0.2752956636005256,0.6416539050535988,0.38528735590165525
0.1810147620987269,0.28911042944785276,0.5773353751914242,0.38528359689820046
0.1720145370305217,0.28005559416261294,0.6171516079632465,0.3852772462245014
0.1792442013813804,0.28721804511278193,0.5849923430321593,0.3852748356651864
0.16687777697554268,0.27554383651944625,0.6401225114854517,0.3852534558004625
0.19388079516917905,0.3006872852233677,0.5359877488514548,0.38525041230784535
0.17265633341808048,0.2803347280334728,0.6156202143950995,0.3852419736955599
0.17012681713986302,0.2787671232876712,0.6232771822358346,0.3852342636524398
0.17820329224789666,0.2857142857142857,0.5911179173047473,0.3852295404788213
0.18208738835308774,0.28979907264296756,0.5742725880551302,0.38520801188085074
0.16738259967372063,0.27604512276045123,0.6370597243491577,0.38518518476334407
0.17088101508025125,0.2793103448275862,0.6202143950995406,0.3851640509270207
0.1787676339523633,0.28635346756152125,0.5880551301684533,0.3851554659587222
0.18072925221352756,0.2885496183206107,0.5788667687595712,0.38512480852187797
0.1681904561491956,0.27655310621242485,0.6339969372128637,0.3851162786468184
0.16654777027700884,0.27511490479317136,0.6416539050535988,0.3851102936975735
0.17191023564029778,0.2798611111111111,0.6171516079632465,0.3850931672725571
0.17919146337344175,0.2870022539444027,0.5849923430321593,0.3850806447196814
0.1932436509818384,0.3,0.5375191424196019,0.38507953876127826
0.16681759738145152,0.2753623188405797,0.6401225114854517,0.38507600142184367
0.1797619627312288,0.2873303167420814,0.5834609494640123,0.3850429505431702
0.1938295845966456,0.30042918454935624,0.5359877488514548,0.38503850339004225
0.17815504825510903,0.28550295857988167,0.5911179173047473,0.38503740604456144
0.17061278919544207,0.27884615384615385,0.6217457886676876,0.3850165951153963
0.1817231654137509,0.28957528957528955,0.5742725880551302,0.3850102664947595
0.16732050585768088,0.27586206896551724,0.6370597243491577,0.38500694080918113
0.17830327176578273,0.2858203414996288,0.5895865237366003,0.38499999956020453
0.19419337775239748,0.30086206896551726,0.5344563552833078,0.3849972416792005
0.17309726190529895,0.2807017543859649,0.6125574272588055,0.3849855626103962
0.1708181156379062,0.27911784975878706,0.6202143950995406,0.38498098816508164
0.18047984326198863,0.28799392097264437,0.5803981623277182,0.3849669878756335
0.17874617376475993,0.28614008941877794,0.5880551301684533,0.38496240557467554
0.16817249519411925,0.27636849132176233,0.6339969372128637,0.3849372380708857
0.16631920995009702,0.27493438320209973,0.6416539050535988,0.38493339415973354
0.1805899530861253,0.28832951945080093,0.5788667687595712,0.3849287164603998
0.17885816175783464,0.28646222887060585,0.5865237366003063,0.3849246226746491
0.17184730897518136,0.27966689798750866,0.6171516079632465,0.3849092641362309
0.16680703830461382,0.27518104015799866,0.6401225114854517,0.38489871044504687
0.18325927838247577,0.290625,0.5696784073506891,0.3848939467848882
0.17918130915218003,0.28678678678678676,0.5849923430321593,0.3848866494325598
0.17783526198437993,0.2849779086892489,0.5926493108728943,0.38488314227651743
0.19322404610140934,0.2997438087105038,0.5375191424196019,0.38486842059295706
0.17960907154890104,0.28711379050489827,0.5834609494640123,0.38484848440642233
0.17810574251123004,0.2852919438285292,0.5911179173047473,0.38484546317005663
0.1672670804041239,0.2756792577866137,0.6370597243491577,0.38482886174304254
0.19369976061410912,0.30017152658662094,0.5359877488514548,0.3848268274672012
0.18168100097942588,0.28935185185185186,0.5742725880551302,0.3848127240285105
0.17829533205182466,0.28560830860534125,0.5895865237366003,0.38480759576221685
0.17665321191992284,0.2838427947598253,0.5972434915773354,0.3848051302983371
0.17073114867017616,0.27892561983471076,0.6202143950995406,0.384798099334508
0.19413368310953277,0.3006029285099053,0.5344563552833078,0.3847850050518915
0.18043716004135557,0.2877752467729689,0.5803981623277182,0.38477157316086424
0.17842401226849,0.2859270290394639,0.5880551301684533,0.3847695386379076
0.16806406176566752,0.276184122748499,0.6339969372128637,0.3847583638895404
0.16630033507463027,0.27475409836065573,0.6416539050535988,0.3847566570640772
0.18057344648837645,0.28810975609756095,0.5788667687595712,0.3847328239837171
0.17881577875936558,0.2862481315396114,0.5865237366003063,0.3847312903678235
0.17171362867657902,0.27947295423023577,0.6171516079632465,0.384725536563758
0.1666678355842255,0.275,0.6401225114854517,0.38472158264448286
0.17915974247107022,0.2865716429107277,0.5849923430321593,0.38469284950826527
0.1778159876936415,0.2847682119205298,0.5926493108728943,0.38469184846812415
0.1931828822163866,0.29948805460750855,0.5375191424196019,0.3846575337870124
0.17958438994483156,0.2868975903614458,0.5834609494640123,0.3846542146009585
0.17805704546803866,0.28508124076809455,0.5911179173047473,0.38465371156896944
0.1707135477056673,0.27873365450791465,0.6202143950995406,0.3846153841875341
0.17661017482817407,0.28363636363636363,0.5972434915773354,0.38461538417875824
0.18152104791402124,0.2891287586738628,0.5742725880551302,0.3846153841699193
0.1936295643821012,0.29991431019708653,0.5359877488514548,0.38461538415526453
0.16627890774819548,0.2745740498034076,0.6416539050535988,0.3845800821869575
0.16801433913162786,0.276,0.6339969372128637,0.38457965587092746
0.17841261532540456,0.2857142857142857,0.5880551301684533,0.3845768648578115
0.18039574410230141,0.287556904400607,0.5803981623277182,0.3845763567360137
0.19410927652078533,0.3003442340791738,0.5344563552833078,0.38457300229414443
0.18055168778861033,0.2878903274942879,0.5788667687595712,0.3845371307872753
0.17780983315502727,0.28455882352941175,0.5926493108728943,0.3845007447181596
0.17910296218006122,0.2863568215892054,0.5849923430321593,0.3844992446518363
0.17803724468556392,0.2848708487084871,0.5911179173047473,0.38446215095553293
0.19310557285889482,0.29923273657289,0.5375191424196019,0.38444687796333055
0.17070004696227342,0.27854195323246217,0.6202143950995406,0.38443284247686504
0.17659150913729374,0.28343023255813954,0.5972434915773354,0.3844258250933043
0.19355950913864786,0.2996575342465753,0.5359877488514548,0.38440417307101815
0.16627615996886333,0.27439423706614274,0.6416539050535988,0.38440366930513803
0.1784005549922182,0.2855018587360595,0.5880551301684533,0.3843843839443623
0.18028579506049983,0.287338893100834,0.5803981623277182,0.3843813382994238
0.1940430061140689,0.3000859845227859,0.5344563552833078,0.3843612330196109
0.17720415488616353,0.2840409956076135,0.5941807044410413,0.38434868703139985
0.18054130163512006,0.2876712328767123,0.5788667687595712,0.38434163656713916
0.1777682290476663,0.2843497428361499,0.5926493108728943,0.3843098307435178
0.17901205729007202,0.2861423220973783,0.5849923430321593,0.38430583456890494
0.17800691708233915,0.28466076696165193,0.5911179173047473,0.38427078104454887
0.17061644787176108,0.27835051546391754,0.6202143950995406,0.38425047395567485
0.17655372694029034,0.28322440087145967,0.5972434915773354,0.38423645276557017
0.19301983567133588,0.2989778534923339,0.5375191424196019,0.38423645274263063
0.16627312093075267,0.2742146596858639,0.6416539050535988,0.38422741819579165
0.17979183592177742,0.28679245283018867,0.5819295558958653,0.38422649096317074
0.1731468874482699,0.28019662921348315,0.6110260336906586,0.38420799186547944
0.19093319101956482,0.29707112970711297,0.5436447166921899,0.3841991337421437
0.1768796302026392,0.28352769679300294,0.5957120980091883,0.384197530427232
0.1783459960088458,0.2852897473997028,0.5880551301684533,0.3841920956081152
0.1802614973664924,0.2871212121212121,0.5803981623277182,0.3841865175500478
0.17716765294168393,0.28383321141185075,0.5941807044410413,0.38415841540405304
0.18051152502151463,0.2874524714828897,0.5788667687595712,0.3841463410199911
0.17772999182534016,0.2841409691629956,0.5926493108728943,0.38411910626165496
0.17890699669466076,0.28592814371257486,0.5849923430321593,0.38411261896569493
0.19430167411849356,0.3002588438308887,0.5329249617151608,0.3841059598038908
0.17793936816110678,0.2844509948415623,0.5911179173047473,0.3840796015513869
0.18333856482914526,0.29007036747458953,0.5681470137825421,0.3840579705669861
0.1662048603673072,0.27403531720078483,0.6416539050535988,0.38405132863649977
0.17654059348312054,0.2830188679245283,0.5972434915773354,0.384047266919695
0.19296935428991419,0.2987234042553191,0.5375191424196019,0.38402625774646093
0.17667456350513466,0.2833211944646759,0.5957120980091883,0.38400789689779713
0.18012536334397414,0.28690386071158214,0.5803981623277182,0.3839918941874495
0.19072439359122895,0.2968227424749164,0.5436447166921899,0.38399134621699954
0.17715684890842417,0.28362573099415206,0.5941807044410413,0.3839683320712411
0.19118399670580558,0.2972292191435768,0.5421133231240429,0.383947938805034
0.17765384613441088,0.2839325018341893,0.5926493108728943,0.3839285709905877
0.16619413636048036,0.2738562091503268,0.6416539050535988,0.3838754004052512
0.1923481569149274,0.29805249788314986,0.5390505359877489,0.3838604139362074
0.17652377617858003,0.2828136330674402,0.5972434915773354,0.3838582672803612
0.19292572638276692,0.29846938775510207,0.5375191424196019,0.38381629259719824
0.17997703452835406,0.2866868381240545,0.5803981623277182,0.38379746791180086
0.1906156123099554,0.29657477025898077,0.5436447166921899,0.3837837833270177
0.17715028758703216,0.28341855368882396,0.5941807044410413,0.3837784367535952
0.19115509485236845,0.29697986577181207,0.5421133231240429,0.3837398369410472
0.17756451676748886,0.2837243401759531,0.5926493108728943,0.383738224648892
0.17414524530716138,0.2806520198440822,0.6064318529862175,0.3837209297999937
