Cluster,Tuoi,KhoangCachTuNha,SoLuongDuAn,SoGioTrungBinhThang,LamThemGio,DiemDanhGiaHieuSuat,DiemHaiLongCongViec,DiemHaiLongMoiTruong,ThuNhapThang,SoNamTaiCongTy,SoNamTuLanThangChucCuoi,DuocThangChucNamTruoc,CapBacCongViec
0,0.08,-0.02,-0.02,-0.01,0.02,0.02,-0.05,-0.05,1.35,0.27,-0.06,-0.31,1.29
1,-0.23,0.03,-0.02,-0.02,-0.02,-0.01,-0.01,0.06,-0.55,-0.61,-0.34,-0.31,-0.52
2,0.53,-0.05,0.04,0.05,0.03,-0.01,0.1,-0.11,-0.19,1.32,1.51,-0.31,-0.42
3,0.02,-0.03,0.07,0.03,0.0,0.06,-0.04,0.02,0.21,0.07,-1.08,3.25,0.71
