Threshold,Precision,Recall,F1
0.02837573385518591,0.1497362990139876,1.0,0.26047068186359934
0.03571428571428571,0.15346062052505965,0.9846860643185299,0.26553788950445856
0.038461538461538464,0.153919923279789,0.9831546707503829,0.26616915399477326
0.0500198491464867,0.1542157098246457,0.9831546707503829,0.26661129544665285
0.0625,0.16492076282567822,0.9402756508422665,0.28062157195815474
0.06889890534449453,0.1650537634408602,0.9402756508422665,0.2808140861854605
0.07181467181467181,0.18181818181818182,0.891271056661562,0.3020238710210901
0.07307692307692308,0.1929107021131561,0.8667687595712098,0.31558405322881306
0.08092485549132948,0.19632118853908737,0.8499234303215927,0.3189655169365122
0.08571428571428572,0.19849516302400574,0.8483920367534457,0.32171893116771905
0.08690012970168612,0.19777058612010068,0.8422664624808576,0.32032614995409003
0.11499703615886188,0.20955882352941177,0.7856049004594181,0.33086101224411923
0.12213740458015267,0.22131147540983606,0.7442572741194488,0.34117234081900294
0.12274368231046931,0.22383857343969968,0.7304747320061256,0.342672413434026
0.128,0.22938018545632016,0.7197549770290965,0.34789045115086037
0.13606911447084233,0.23168908819133036,0.7120980091883614,0.34962405977992794
0.1368421052631579,0.23209618400418192,0.6799387442572741,0.34606391232515715
0.14360313315926893,0.24391657010428738,0.6447166921898928,0.3539302223843958
0.14744351961950058,0.2459214501510574,0.6232771822358346,0.35268630808644075
0.15384615384615385,0.260549229738781,0.5957120980091883,0.3625349483184524
0.16597510373443983,0.2608987256874581,0.5957120980091883,0.3628731339047433
0.16988416988416988,0.26606772633033865,0.5895865237366003,0.3666666662381447
0.1746031746031746,0.2745552977571539,0.5436447166921899,0.36485097591584875
0.19144602851323828,0.2768627450980392,0.5405819295558959,0.36618257216614786
0.198435972629521,0.28545618789521227,0.48392036753445633,0.35909090862417936
0.2,0.31336898395721924,0.44869831546707506,0.3690176317575813
0.2112676056338028,0.314410480349345,0.44104134762633995,0.36711281022150566
0.2132701421800948,0.3179255918827508,0.4318529862174579,0.36623376574531036
0.21428571428571427,0.3247863247863248,0.40735068912710565,0.3614130429846196
0.22564102564102564,0.32558139534883723,0.40735068912710565,0.36190476141098527
0.24242424242424243,0.34281437125748504,0.35068912710566613,0.3467070396211848
0.26666666666666666,0.3398496240601504,0.3460949464012251,0.3429438538247759
0.2716049382716049,0.3441358024691358,0.34150076569678406,0.34281322009954623
0.2926829268292683,0.34477124183006536,0.3231240428790199,0.33359683744518925
0.30303030303030304,0.34933774834437087,0.3231240428790199,0.33571996767896184
0.31125827814569534,0.36450381679389315,0.29249617151607965,0.3245539502281812
0.3275862068965517,0.3687374749498998,0.28177641653905056,0.31944444395337973
0.3333333333333333,0.38565022421524664,0.26339969372128635,0.31301182845313424
0.33978494623655914,0.3900226757369615,0.26339969372128635,0.3144424126814818
0.3424657534246575,0.41292134831460675,0.225114854517611,0.29137760112904965
0.35877862595419846,0.4249201277955272,0.20367534456355282,0.27536231840252007
0.3610223642172524,0.423841059602649,0.19601837672281777,0.26806282679267346
0.36363636363636365,0.44573643410852715,0.17611026033690658,0.252469812985877
0.375886524822695,0.4470588235294118,0.17457886676875958,0.25110132118196793
0.41414141414141414,0.45188284518828453,0.16539050535987748,0.24215246597541928
0.41509433962264153,0.42162162162162165,0.11944869831546708,0.1861575175557071
0.4166666666666667,0.4294478527607362,0.10719754977029096,0.17156862713127463
0.42105263157894735,0.41875,0.10260336906584992,0.16482164790034026
0.4912891986062718,0.44,0.10107197549770292,0.16438356134002474
0.5,0.4915254237288136,0.0888208269525268,0.15045395564217812
0.5060975609756098,0.5043478260869565,0.0888208269525268,0.1510416664120314
0.5564304461942258,0.5584415584415584,0.06584992343032159,0.11780821898937512
0.7142857142857143,0.5294117647058824,0.013782542113323124,0.026865671592332368
0.7222222222222222,0.5333333333333333,0.01225114854517611,0.02395209576448152
0.7333333333333333,0.5833333333333334,0.010719754977029096,0.021052631543508393
0.7391304347826086,0.8333333333333334,0.007656967840735069,0.015174506810484456
